L1,L2,L3,GROUP_DVS_CD,관리 계정 코드,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,원가종류,계정구분,상위계정,계정코드,,계정명,,계정코드,,계정명,,계정코드,,계정명
,,,,HR-103,50121101,1,원가)퇴직금,,용역원가,노무비 (5012),원가)퇴직금 (501211),50121101,1,원가)퇴직금,,용역원가,노무비 (5012),원가)퇴직금 (501211),50121101,1,원가)퇴직금,,,,,,553,,설계 퇴직금
,,,,HR-103,20310901,1,퇴직급여충당금,,,고정부채 (2031),퇴직급여충당금 (203109),20310901,1,퇴직급여충당금,,,고정부채 (2031),퇴직급여충당금 (203109),20310901,1,퇴직급여충당금,,,,,,552,,시공 퇴직금
,,,,HR-103,20310903,1,퇴직급여충당금(사간전보),,,고정부채 (2031),퇴직급여충당금 (203109),20310903,1,퇴직급여충당금(사간전보),,,고정부채 (2031),퇴직급여충당금 (203109),20310903,1,퇴직급여충당금(사간전보),,,,,,551,,관리 퇴직금
,,,,HR-103,20311701,1,퇴직보험예치금,,,고정부채 (2031),퇴직보험예치금 (203117),20311701,1,퇴직보험예치금,,,고정부채 (2031),퇴직보험예치금 (203117),20311701,1,퇴직보험예치금,,,,,,563,,퇴직급여
,,,,HR-103,20311801,1,퇴직연금운용자산,,,고정부채 (2031),퇴직연금운용자산 (203118),20311801,1,퇴직연금운용자산,,,고정부채 (2031),퇴직연금운용자산 (203118),20311801,1,퇴직연금운용자산,,,,,,562,,일용직 퇴직금
,4대보험,국민연금,,HR-201,60114919,1,세금과공과(국민연금),,일반관리비,판매비및일반관리비 (6011),세금과공과 (601149),60114919,1,세금과공과(국민연금),,일반관리비,판매비및일반관리비 (6011),세금과공과 (601149),60114919,1,세금과공과(국민연금),,523,,4대보험,,561,,4대보험
,,,,HR-201,60115717,1,복리후생비(국민연금),,일반관리비,판매비및일반관리비 (6011),복리후생비 (601157),60115717,1,복리후생비(국민연금),,일반관리비,판매비및일반관리비 (6011),복리후생비 (601157),60115717,1,복리후생비(국민연금),,,,,,,,
,,,,HR-201,,,,,"일반관리비	판매비및일반관리비 (6011)	경상시험연구비 (601147)",,,60114777,1,경상시험연구비(국민연금),,일반관리비,판매비및일반관리비 (6011),경상연구개발비 (601147),60114777,1,경상시험연구비(국민연금),,,,,,,,
,,,,HR-201,50152523,1,원가)복리후생비(국민연금),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152523,1,원가)복리후생비(국민연금),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152523,1,원가)복리후생비(국민연금),,,,,,,,
,,,,HR-201,50151719,1,원가)세금과공과(국민연금),,용역원가,경 비 (5015),원가)세금과공과 (501517),50151719,1,원가)세금과공과(국민연금),,용역원가,경 비 (5015),원가)세금과공과 (501517),50151719,1,원가)세금과공과(국민연금),,,,,,,,
,,,,HR-201,20111507,1,예수금(국민연금),,,유동부채 (2011),예수금 (201115),20111507,1,예수금(국민연금),,,유동부채 (2011),예수금 (201115),20111507,1,예수금(국민연금),,,,,,,,
,,건강보험료,,HR-202,60115715,1,복리후생비(건강보험료),,일반관리비,판매비및일반관리비 (6011),복리후생비 (601157),60115715,1,복리후생비(건강보험료),,일반관리비,판매비및일반관리비 (6011),복리후생비 (601157),60115715,1,복리후생비(건강보험료),,,,,,,,
,,,,HR-202,20111505,1,예수금(건강보험료),,일반관리비,유동부채 (2011),예수금 (201115),20111505,1,예수금(건강보험료),,일반관리비,유동부채 (2011),예수금 (201115),20111505,1,예수금(건강보험료),,,,,,,,
,,,,HR-202,,,,,일반관리비,판매비및일반관리비 (6011),경상시험연구비 (601147),60114775,1,경상시험연구비(건강보험료),,일반관리비,판매비및일반관리비 (6011),경상연구개발비 (601147),60114775,1,경상시험연구비(의료보험료),,,,,,,,
,,,,HR-202,50152521,1,원가)복리후생비(건강보험료),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152521,1,원가)복리후생비(건강보험료),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152521,1,원가)복리후생비(건강보험료),,,,,,,,
,,고용보험료,,HR-203,60115723,1,복리후생비(고용보험료),,일반관리비,판매비및일반관리비 (6011),복리후생비 (601157),60115723,1,복리후생비(고용보험료),,일반관리비,판매비및일반관리비 (6011),복리후생비 (601157),60115723,1,복리후생비(고용보험료),,,,,,,,
,,,,HR-203,60115117,1,보험료(고용보험료),,일반관리비,판매비및일반관리비 (6011),보험료 (601151),60115117,1,보험료(고용보험료),,일반관리비,판매비및일반관리비 (6011),보험료 (601151),60115117,1,보험료(고용보험료),,,,,,,,
,,,,HR-203,50152529,1,원가)복리후생비(고용보험료),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152529,1,원가)복리후생비(고용보험료),,용역원가,경 비 (5015),원가)복리후생비 (501525),50152529,1,원가)복리후생비(고용보험료),,,,,,,,
,,,,HR-203,50151917,1,원가)보험료(고용보험료),,용역원가,경 비 (5015),원가)보험료 (501519),50151917,1,원가)보험료(고용보험료),,용역원가,경 비 (5015),원가)보험료 (501519),50151917,1,원가)보험료(고용보험료),,,,,,,,
